Lead Source,Total Time Spent on Website,Total Visits,Last Activity,Converted
Referral,3961,7,Form Submitted,0
Referral,4420,12,Form Submitted,1
Direct Traffic,4537,3,Email Opened,1
Referral,4899,15,Page Visited,0
Organic Search,2335,5,Email Opened,0
Referral,4321,8,Email Opened,1
Direct Traffic,2985,14,Other,0
Organic Search,559,4,Form Submitted,0
Google,713,7,Email Opened,1
Referral,4593,7,Form Submitted,0
Direct Traffic,3988,18,Other,1
Google,256,14,Page Visited,0
Google,576,8,Email Opened,0
Social Media,37,12,Form Submitted,0
Organic Search,2072,10,Email Opened,1
Referral,4505,14,Page Visited,0
Direct Traffic,460,9,Email Opened,0
Social Media,1440,6,Email Opened,1
Organic Search,4478,5,Form Submitted,0
Social Media,1832,1,Page Visited,0
Organic Search,4664,1,Other,0
Organic Search,3399,17,Page Visited,0
Referral,432,11,Page Visited,0
Organic Search,4151,12,Other,0
Social Media,1751,3,Email Opened,1
Organic Search,2047,6,Form Submitted,0
Referral,4997,11,Email Opened,1
Referral,2840,13,Email Opened,0
Social Media,256,11,Other,1
Google,671,8,Other,0
Google,489,10,Email Opened,0
Organic Search,3714,2,Page Visited,0
Direct Traffic,2096,14,Form Submitted,0
Organic Search,1682,16,Page Visited,0
Social Media,4411,17,Email Opened,0
Social Media,2460,11,Email Opened,0
Social Media,4529,2,Form Submitted,0
Social Media,3912,5,Page Visited,0
Social Media,1975,16,Email Opened,1
Referral,3216,16,Email Opened,1
Google,1389,2,Other,0
Social Media,4515,16,Form Submitted,0
Direct Traffic,3856,5,Other,0
Direct Traffic,1584,8,Other,1
Direct Traffic,4939,14,Other,1
Direct Traffic,2963,10,Email Opened,0
Referral,4529,2,Page Visited,0
Direct Traffic,976,3,Other,0
Social Media,3364,18,Page Visited,0
Organic Search,45,2,Email Opened,0
Direct Traffic,1193,9,Other,0
Referral,3342,2,Email Opened,0
Referral,4512,7,Other,0
Direct Traffic,4943,7,Other,1
Organic Search,246,14,Email Opened,0
Direct Traffic,3219,5,Form Submitted,0
Referral,4325,8,Form Submitted,0
Google,791,18,Page Visited,0
Social Media,636,6,Page Visited,1
Referral,3775,14,Email Opened,0
Direct Traffic,2421,18,Email Opened,0
Social Media,4833,17,Email Opened,0
Direct Traffic,1088,9,Form Submitted,0
Direct Traffic,4183,13,Form Submitted,1
Google,3159,16,Other,0
Social Media,712,10,Other,0
Social Media,4696,10,Email Opened,0
Google,3644,4,Email Opened,0
Referral,3890,12,Page Visited,0
Direct Traffic,2586,8,Form Submitted,0
Organic Search,4309,15,Email Opened,0
Direct Traffic,2108,19,Form Submitted,1
Direct Traffic,4793,15,Email Opened,0
Referral,3614,8,Other,0
Direct Traffic,1242,8,Email Opened,0
Google,2059,19,Other,0
Google,3486,9,Page Visited,0
Social Media,4332,17,Page Visited,0
Organic Search,3810,8,Page Visited,0
Direct Traffic,3900,12,Email Opened,1
Direct Traffic,2605,15,Page Visited,0
Referral,4742,4,Email Opened,1
Google,3034,6,Form Submitted,1
Organic Search,4568,16,Other,1
Social Media,4207,5,Form Submitted,0
Google,4051,13,Email Opened,1
Social Media,3363,15,Page Visited,1
Referral,4021,17,Other,0
Referral,1845,5,Page Visited,0
Direct Traffic,382,19,Form Submitted,0
Organic Search,4112,7,Email Opened,0
Social Media,4588,3,Other,0
Google,3810,13,Other,0
Referral,1896,14,Email Opened,1
Direct Traffic,1509,16,Email Opened,0
Direct Traffic,4212,13,Other,1
Social Media,1578,2,Form Submitted,0
Referral,879,14,Form Submitted,0
Organic Search,2162,7,Page Visited,0
Referral,1572,5,Other,0
Social Media,1648,14,Email Opened,1
Social Media,4739,9,Email Opened,0
Referral,1359,10,Email Opened,0
Social Media,4431,7,Email Opened,1
Referral,2969,14,Other,0
Google,3960,14,Form Submitted,1
Referral,3811,2,Page Visited,0
Referral,4242,17,Form Submitted,0
Social Media,4217,4,Page Visited,0
Social Media,80,13,Email Opened,1
Direct Traffic,2732,18,Email Opened,0
Direct Traffic,2709,3,Other,1
Google,2422,19,Email Opened,1
Direct Traffic,3641,5,Other,0
Referral,4599,1,Other,0
Social Media,667,9,Other,1
Direct Traffic,2496,8,Email Opened,0
Direct Traffic,3499,3,Email Opened,0
Google,3498,2,Form Submitted,0
Google,1444,1,Page Visited,1
Referral,1345,12,Form Submitted,1
Social Media,1189,13,Email Opened,0
Google,458,10,Page Visited,0
Direct Traffic,1212,17,Other,1
Social Media,4559,11,Page Visited,0
Social Media,911,5,Other,1
Direct Traffic,1025,9,Email Opened,0
Google,2411,13,Page Visited,1
Direct Traffic,71,11,Other,1
Social Media,2685,4,Form Submitted,0
Organic Search,1193,11,Form Submitted,0
Organic Search,1848,9,Other,0
Referral,2384,7,Form Submitted,0
Direct Traffic,2022,16,Form Submitted,0
Direct Traffic,3741,5,Page Visited,0
Referral,4748,6,Form Submitted,0
Referral,1298,19,Page Visited,0
Referral,4102,1,Email Opened,1
Social Media,904,16,Form Submitted,0
Direct Traffic,3026,18,Email Opened,0
Social Media,2028,13,Form Submitted,0
Referral,4711,1,Other,1
Direct Traffic,2620,10,Other,0
Social Media,2646,7,Email Opened,0
Social Media,4865,5,Email Opened,0
Referral,2289,13,Email Opened,1
Direct Traffic,3872,16,Other,1
Referral,1485,14,Email Opened,0
Direct Traffic,3151,11,Other,0
Organic Search,1440,19,Email Opened,0
Google,765,2,Page Visited,1
Google,4479,8,Page Visited,0
Google,2438,13,Form Submitted,0
Referral,4092,7,Page Visited,0
Organic Search,4783,12,Email Opened,1
Direct Traffic,1149,8,Page Visited,0
Social Media,3565,16,Page Visited,0
Direct Traffic,4142,18,Email Opened,0
Social Media,1972,19,Page Visited,0
Direct Traffic,2666,4,Email Opened,0
Organic Search,463,12,Page Visited,0
Social Media,4218,16,Email Opened,0
Referral,2181,17,Other,0
Direct Traffic,1642,4,Other,0
Direct Traffic,3888,9,Form Submitted,0
Social Media,840,5,Page Visited,0
Referral,2654,17,Form Submitted,0
Referral,4118,17,Email Opened,0
Organic Search,565,2,Other,0
Referral,964,2,Email Opened,0
Referral,2282,7,Form Submitted,0
Referral,995,4,Email Opened,0
Google,1187,13,Email Opened,1
Organic Search,4921,11,Email Opened,0
Direct Traffic,4311,3,Email Opened,0
Social Media,3254,2,Other,0
Direct Traffic,656,16,Email Opened,0
Organic Search,2982,3,Email Opened,0
Social Media,1113,15,Other,1
Organic Search,4406,17,Email Opened,0
Referral,556,16,Email Opened,0
Social Media,3019,7,Form Submitted,1
Referral,2304,16,Other,0
Direct Traffic,2580,5,Page Visited,0
Direct Traffic,51,2,Email Opened,0
Social Media,1361,1,Form Submitted,0
Social Media,1194,13,Other,0
Organic Search,4019,16,Email Opened,0
Organic Search,3138,5,Page Visited,0
Referral,1648,3,Email Opened,1
Social Media,671,15,Form Submitted,1
Direct Traffic,777,16,Other,1
Organic Search,4927,11,Form Submitted,1
Organic Search,2279,19,Other,0
Direct Traffic,3022,18,Page Visited,0
Organic Search,1860,9,Email Opened,0
Referral,3139,8,Form Submitted,1
Social Media,1074,19,Page Visited,0
Direct Traffic,1716,5,Page Visited,0
Social Media,1283,17,Email Opened,1
Organic Search,4686,5,Form Submitted,1
Organic Search,1986,14,Email Opened,1
Direct Traffic,2633,7,Email Opened,0
Referral,1001,9,Other,0
Google,1046,17,Other,0
Direct Traffic,2176,3,Email Opened,0
Google,2338,8,Other,0
Google,1855,13,Form Submitted,0
Referral,500,16,Other,0
Google,2233,10,Page Visited,0
Google,4574,18,Email Opened,1
Referral,2539,3,Email Opened,1
Google,4608,12,Form Submitted,0
Google,3714,16,Email Opened,0
Google,2332,18,Other,0
Direct Traffic,600,17,Page Visited,0
Direct Traffic,4284,7,Email Opened,1
Direct Traffic,988,19,Other,1
Referral,1881,8,Page Visited,1
Organic Search,4483,17,Email Opened,0
Google,1754,7,Email Opened,1
Google,2464,1,Email Opened,0
Referral,2223,8,Page Visited,0
Google,4482,19,Email Opened,0
Direct Traffic,1494,10,Email Opened,1
Organic Search,852,12,Other,0
Social Media,451,1,Other,0
Google,2324,4,Other,0
Direct Traffic,1758,4,Other,0
Social Media,4308,9,Email Opened,0
Organic Search,3353,15,Page Visited,0
Social Media,4136,15,Email Opened,0
Direct Traffic,4695,7,Form Submitted,0
Social Media,3338,12,Page Visited,0
Referral,2588,3,Form Submitted,0
Social Media,1782,9,Email Opened,0
Google,3520,14,Page Visited,1
Google,1779,13,Page Visited,0
Referral,3132,12,Other,0
Direct Traffic,3573,1,Email Opened,0
Google,3218,19,Form Submitted,0
Organic Search,3757,16,Page Visited,1
Google,4016,12,Page Visited,0
Google,2837,10,Other,0
Direct Traffic,2381,2,Page Visited,0
Social Media,4239,18,Other,0
Google,3936,13,Page Visited,0
Referral,4428,6,Page Visited,1
Social Media,1419,12,Email Opened,1
Organic Search,4150,4,Page Visited,0
Direct Traffic,1330,1,Other,0
Organic Search,2917,11,Other,1
Social Media,1446,8,Other,0
Social Media,1440,2,Form Submitted,0
Social Media,3744,2,Page Visited,0
Organic Search,2844,16,Email Opened,0
Social Media,4175,1,Email Opened,1
Organic Search,864,4,Form Submitted,1
Social Media,471,6,Page Visited,1
Referral,1502,14,Other,0
Social Media,4684,15,Form Submitted,1
Organic Search,1410,7,Form Submitted,0
Google,3770,7,Other,0
Social Media,1905,18,Form Submitted,0
Google,4659,2,Form Submitted,0
Referral,4001,15,Other,0
Direct Traffic,3504,1,Page Visited,1
Referral,3483,17,Email Opened,0
Social Media,4562,13,Email Opened,0
Google,598,12,Other,1
Google,991,15,Other,1
Organic Search,1932,5,Page Visited,0
Google,2784,7,Form Submitted,0
Organic Search,3041,8,Page Visited,1
Direct Traffic,66,14,Form Submitted,1
Social Media,3398,4,Form Submitted,0
Organic Search,2750,14,Page Visited,0
Direct Traffic,469,10,Other,0
Google,1724,16,Other,1
Google,3985,11,Page Visited,0
Direct Traffic,1631,14,Form Submitted,0
Google,774,14,Form Submitted,1
Direct Traffic,3012,2,Form Submitted,0
Organic Search,2503,13,Form Submitted,1
Organic Search,1486,3,Page Visited,0
Direct Traffic,4019,18,Email Opened,0
Organic Search,4227,4,Other,0
Organic Search,929,19,Other,1
Organic Search,3012,16,Email Opened,1
Referral,1505,4,Form Submitted,1
Social Media,4729,19,Email Opened,0
Google,2944,15,Email Opened,0
Referral,2819,1,Email Opened,0
Organic Search,1184,16,Other,0
Direct Traffic,288,15,Other,0
Organic Search,1811,16,Email Opened,1
Social Media,527,1,Email Opened,0
Organic Search,916,17,Email Opened,1
Direct Traffic,1708,5,Form Submitted,1
Social Media,3574,5,Form Submitted,0
Organic Search,3319,7,Form Submitted,1
Social Media,1406,13,Other,0
Google,1241,12,Page Visited,1
Google,3133,4,Email Opened,0
Organic Search,798,4,Email Opened,0
Social Media,1523,6,Page Visited,0
Direct Traffic,4107,15,Email Opened,1
Organic Search,4928,19,Form Submitted,1
Google,2888,6,Form Submitted,0
Google,2690,12,Page Visited,1
Organic Search,4091,14,Form Submitted,0
Social Media,1241,18,Page Visited,1
Google,690,12,Form Submitted,0
Social Media,527,15,Email Opened,0
Google,1495,19,Other,0
Google,3825,8,Form Submitted,0
Referral,2893,9,Page Visited,0
Google,892,5,Other,0
Direct Traffic,386,5,Email Opened,0
Organic Search,1249,6,Other,0
Organic Search,2528,3,Page Visited,1
Social Media,4503,5,Email Opened,0
Google,3528,1,Email Opened,0
Direct Traffic,897,11,Form Submitted,0
Social Media,710,1,Other,0
Referral,3695,7,Form Submitted,1
Social Media,2686,15,Email Opened,1
Social Media,4512,17,Form Submitted,0
Google,415,8,Form Submitted,0
Referral,1471,2,Page Visited,1
Social Media,4180,13,Form Submitted,1
Direct Traffic,4262,12,Email Opened,0
Direct Traffic,2431,5,Form Submitted,0
Organic Search,2515,13,Email Opened,0
Referral,1095,6,Email Opened,0
Referral,809,15,Page Visited,1
Organic Search,3044,11,Email Opened,0
Social Media,992,4,Email Opened,0
Referral,1281,1,Page Visited,0
Direct Traffic,4370,15,Email Opened,0
Direct Traffic,1773,12,Page Visited,0
Google,3561,9,Other,0
Referral,3816,11,Other,1
Social Media,1756,5,Other,0
Organic Search,2373,7,Email Opened,0
Organic Search,2576,8,Form Submitted,0
Social Media,891,1,Page Visited,0
Google,4184,1,Other,0
Organic Search,707,3,Page Visited,0
Referral,2397,8,Other,1
Google,4482,11,Other,0
Referral,2134,1,Email Opened,1
Direct Traffic,2354,14,Page Visited,0
Google,4535,1,Email Opened,0
Organic Search,976,6,Page Visited,0
Google,734,6,Page Visited,0
Google,2468,3,Form Submitted,0
Google,2540,10,Other,0
Google,632,12,Email Opened,0
Referral,4268,10,Form Submitted,0
Direct Traffic,4099,2,Page Visited,0
Social Media,2901,13,Other,1
Google,1663,16,Email Opened,1
Organic Search,2015,13,Form Submitted,0
Google,3181,4,Page Visited,0
Organic Search,4063,4,Form Submitted,0
Referral,2630,11,Page Visited,0
Organic Search,3872,14,Page Visited,1
Social Media,1054,3,Other,0
Direct Traffic,380,19,Email Opened,0
Organic Search,3082,1,Other,1
Organic Search,2391,5,Email Opened,1
Direct Traffic,1592,17,Email Opened,1
Social Media,4261,1,Page Visited,1
Google,2747,19,Form Submitted,1
Organic Search,2389,19,Email Opened,0
Direct Traffic,3553,4,Email Opened,0
Referral,3027,19,Email Opened,0
Direct Traffic,1207,6,Email Opened,0
Referral,3853,15,Page Visited,1
Social Media,544,4,Other,0
Google,3081,1,Form Submitted,0
Direct Traffic,3663,17,Page Visited,0
Organic Search,2239,11,Page Visited,0
Social Media,2367,17,Page Visited,1
Direct Traffic,3773,1,Email Opened,0
Organic Search,2627,9,Form Submitted,0
Direct Traffic,3931,14,Page Visited,0
Referral,2474,15,Page Visited,0
Direct Traffic,3130,1,Page Visited,1
Direct Traffic,3507,2,Email Opened,0
Direct Traffic,96,18,Email Opened,1
Social Media,3858,18,Page Visited,1
Direct Traffic,2708,6,Email Opened,1
Organic Search,3336,8,Form Submitted,0
Referral,456,1,Email Opened,1
Referral,4368,15,Page Visited,0
Direct Traffic,2987,10,Form Submitted,1
Social Media,4088,4,Email Opened,1
Social Media,3884,10,Page Visited,1
Organic Search,1031,11,Other,1
Direct Traffic,207,5,Other,0
Referral,1937,9,Form Submitted,0
Social Media,1146,5,Form Submitted,0
Direct Traffic,4299,11,Form Submitted,1
Social Media,2564,3,Email Opened,0
Social Media,442,4,Form Submitted,0
Referral,4784,10,Email Opened,0
Google,832,7,Page Visited,0
Organic Search,1461,1,Email Opened,1
Organic Search,3516,6,Email Opened,0
Referral,1159,8,Page Visited,1
Social Media,386,17,Other,0
Direct Traffic,2041,7,Email Opened,1
Social Media,2553,1,Email Opened,0
Referral,1718,9,Page Visited,0
Organic Search,4775,11,Form Submitted,1
Social Media,4050,19,Page Visited,0
Organic Search,3409,2,Other,0
Direct Traffic,689,11,Form Submitted,0
Organic Search,1169,3,Other,0
Organic Search,4988,17,Email Opened,0
Google,952,10,Other,0
Google,4879,3,Other,0
Google,4590,3,Page Visited,0
Organic Search,3496,7,Form Submitted,0
Referral,3917,2,Email Opened,0
Organic Search,4842,1,Email Opened,1
Referral,2484,7,Email Opened,0
Referral,1854,11,Form Submitted,1
Google,3439,6,Form Submitted,0
Social Media,3231,4,Other,0
Direct Traffic,2597,19,Other,0
Google,3983,19,Form Submitted,0
Google,2191,14,Email Opened,0
Social Media,2635,3,Form Submitted,0
Direct Traffic,656,4,Page Visited,1
Organic Search,3812,8,Form Submitted,0
Organic Search,3340,18,Form Submitted,1
Google,3911,4,Email Opened,1
Direct Traffic,1796,11,Other,0
Google,4363,16,Page Visited,0
Referral,1762,3,Page Visited,0
Google,4472,7,Page Visited,0
Google,3285,2,Form Submitted,0
Organic Search,1585,1,Email Opened,1
Organic Search,3563,1,Form Submitted,1
Organic Search,2440,6,Other,1
Referral,4584,19,Email Opened,0
Organic Search,4817,7,Page Visited,0
Direct Traffic,3100,5,Form Submitted,0
Social Media,3244,18,Email Opened,0
Direct Traffic,1040,13,Form Submitted,0
Direct Traffic,3127,1,Email Opened,0
Organic Search,2273,10,Page Visited,1
Social Media,3629,9,Other,1
Social Media,2114,17,Other,0
Social Media,1677,1,Form Submitted,1
Referral,3094,1,Page Visited,0
Organic Search,998,7,Form Submitted,0
Social Media,2284,4,Form Submitted,1
Referral,1589,12,Email Opened,1
Google,1161,16,Email Opened,0
Google,2520,14,Email Opened,0
Referral,3855,10,Page Visited,1
Referral,4648,14,Page Visited,0
Organic Search,694,7,Form Submitted,0
Organic Search,4412,4,Email Opened,0
Google,4863,2,Page Visited,1
Social Media,3798,18,Form Submitted,0
Google,3683,16,Page Visited,1
Social Media,1971,9,Form Submitted,0
Social Media,1503,5,Other,0
Organic Search,3249,9,Email Opened,1
Direct Traffic,4218,8,Other,0
Direct Traffic,3242,16,Form Submitted,0
Referral,1868,18,Form Submitted,0
Organic Search,1671,4,Email Opened,1
Social Media,1082,16,Email Opened,0
Direct Traffic,1728,4,Form Submitted,0
Social Media,3851,6,Page Visited,0
Direct Traffic,2142,3,Email Opened,0
Direct Traffic,1148,18,Form Submitted,0
Direct Traffic,253,15,Email Opened,1
Organic Search,4102,8,Email Opened,0
Google,3542,18,Other,0
Social Media,2775,3,Other,0
Organic Search,4637,6,Page Visited,1
Organic Search,3333,15,Email Opened,0
Organic Search,4184,12,Form Submitted,0
Organic Search,3279,5,Form Submitted,1
Organic Search,4308,7,Email Opened,0
Referral,2881,15,Email Opened,0
Social Media,265,7,Page Visited,0
Organic Search,2340,13,Page Visited,1
Social Media,3148,3,Page Visited,0
Referral,3359,13,Form Submitted,1
Referral,1004,3,Other,0
Social Media,2094,2,Page Visited,0
Direct Traffic,4717,4,Form Submitted,0
Google,3271,17,Page Visited,1
Direct Traffic,4522,6,Form Submitted,0
Direct Traffic,209,11,Email Opened,0
Direct Traffic,887,6,Form Submitted,0
Organic Search,153,2,Email Opened,0
Referral,3593,17,Form Submitted,0
Direct Traffic,414,3,Other,0
Referral,3424,12,Form Submitted,0
Social Media,1284,14,Email Opened,0
Google,3148,2,Other,1
Social Media,768,5,Form Submitted,1
Social Media,982,10,Form Submitted,0
Organic Search,3202,10,Page Visited,0
Google,4674,9,Other,0
Social Media,3526,13,Email Opened,0
Social Media,2787,10,Other,0
Google,2210,6,Email Opened,0
Google,1038,11,Page Visited,1
Social Media,3932,4,Page Visited,0
Google,541,14,Email Opened,0
Social Media,358,17,Email Opened,0
Social Media,849,2,Email Opened,0
Organic Search,4522,10,Page Visited,1
Direct Traffic,2544,3,Other,0
Social Media,4581,7,Page Visited,1
Referral,1831,7,Form Submitted,0
Direct Traffic,1472,1,Page Visited,0
Direct Traffic,1436,8,Form Submitted,1
Direct Traffic,329,1,Form Submitted,0
Organic Search,4354,8,Page Visited,0
Social Media,4238,14,Page Visited,1
Organic Search,4008,14,Page Visited,0
Social Media,4722,2,Other,0
Organic Search,1388,8,Page Visited,0
Organic Search,4185,19,Email Opened,0
Referral,719,10,Page Visited,0
Organic Search,3235,7,Form Submitted,1
Google,4576,13,Other,0
Referral,2131,15,Other,0
Organic Search,1100,11,Form Submitted,0
Direct Traffic,672,14,Other,0
Google,516,11,Other,0
Google,2532,2,Email Opened,0
Google,3670,2,Email Opened,1
Referral,781,12,Other,0
Organic Search,3523,15,Page Visited,0
Organic Search,3558,17,Other,0
Direct Traffic,2386,14,Email Opened,0
Direct Traffic,4782,16,Other,1
Google,1589,8,Page Visited,0
Direct Traffic,4995,17,Page Visited,0
Referral,1501,5,Email Opened,0
Organic Search,3794,12,Other,0
Google,4318,6,Email Opened,1
Direct Traffic,3080,18,Form Submitted,0
Referral,1076,5,Email Opened,0
Referral,1100,6,Email Opened,0
Direct Traffic,502,9,Email Opened,0
Organic Search,1339,15,Other,0
Direct Traffic,3885,10,Form Submitted,1
Google,623,17,Other,0
Direct Traffic,1886,19,Page Visited,1
Referral,3350,12,Form Submitted,0
Direct Traffic,1050,9,Email Opened,1
Organic Search,3772,15,Email Opened,0
Social Media,3916,14,Email Opened,0
Direct Traffic,4018,1,Other,1
Organic Search,1329,17,Page Visited,0
Organic Search,4114,1,Form Submitted,0
Referral,3367,13,Form Submitted,1
Organic Search,3951,8,Other,0
Organic Search,2497,13,Page Visited,0
Organic Search,1573,16,Form Submitted,1
Organic Search,2634,2,Other,1
Google,2768,13,Page Visited,1
Google,1211,18,Page Visited,0
Referral,775,3,Form Submitted,0
Direct Traffic,1160,13,Form Submitted,1
Organic Search,2383,19,Page Visited,0
Direct Traffic,2654,13,Form Submitted,1
Direct Traffic,3540,19,Other,0
Referral,4697,4,Page Visited,0
Organic Search,4635,19,Form Submitted,0
Organic Search,1095,18,Form Submitted,1
Social Media,23,6,Other,0
Direct Traffic,4719,19,Form Submitted,1
Direct Traffic,3556,4,Form Submitted,1
Google,1079,4,Form Submitted,1
Social Media,4318,7,Email Opened,1
Google,178,7,Other,1
Google,2847,16,Other,1
Google,1960,16,Email Opened,0
Referral,1473,5,Other,0
Referral,4888,15,Form Submitted,0
Google,4979,4,Form Submitted,0
Social Media,1212,13,Form Submitted,0
Direct Traffic,809,19,Other,0
Social Media,419,7,Other,1
Organic Search,3659,12,Page Visited,0
Referral,3816,9,Email Opened,0
Direct Traffic,1278,17,Other,1
Direct Traffic,2523,2,Page Visited,0
Organic Search,1440,16,Email Opened,0
Organic Search,1340,7,Email Opened,1
Google,2221,18,Form Submitted,0
Referral,2392,7,Form Submitted,0
Referral,1361,1,Page Visited,0
Social Media,591,3,Page Visited,0
Google,526,11,Form Submitted,1
Google,2503,15,Form Submitted,0
Google,1292,3,Email Opened,1
Google,1654,13,Email Opened,0
Referral,4906,4,Other,0
Referral,187,8,Form Submitted,1
Google,2758,4,Email Opened,1
Social Media,528,18,Page Visited,0
Direct Traffic,433,7,Email Opened,0
Direct Traffic,3512,11,Form Submitted,1
Social Media,1804,4,Email Opened,0
Google,302,13,Form Submitted,0
Referral,4182,9,Email Opened,1
Direct Traffic,437,9,Other,0
Organic Search,2588,19,Other,0
Organic Search,832,3,Page Visited,0
Social Media,796,12,Page Visited,1
Google,559,11,Form Submitted,0
Direct Traffic,3588,11,Form Submitted,1
Google,761,17,Form Submitted,0
Direct Traffic,3574,14,Email Opened,0
Social Media,3785,16,Email Opened,0
Social Media,2514,10,Email Opened,0
Organic Search,684,4,Page Visited,0
Google,4233,10,Form Submitted,0
Organic Search,577,12,Email Opened,1
Google,4805,9,Page Visited,1
Organic Search,227,15,Other,0
Referral,2328,9,Form Submitted,1
Referral,2731,7,Other,0
Referral,827,12,Page Visited,0
Referral,430,14,Form Submitted,0
Direct Traffic,1063,16,Email Opened,0
Referral,1709,19,Page Visited,0
Social Media,1234,3,Other,0
Social Media,301,11,Other,0
Direct Traffic,1420,19,Other,0
Referral,4628,8,Page Visited,1
Referral,768,8,Page Visited,1
Referral,1404,3,Form Submitted,0
Organic Search,443,10,Form Submitted,1
Google,3104,13,Other,0
Organic Search,4355,9,Page Visited,1
Google,3305,6,Form Submitted,0
Referral,1538,15,Page Visited,0
Referral,3930,16,Email Opened,0
Organic Search,1331,5,Page Visited,0
Organic Search,69,13,Other,0
Google,3435,19,Page Visited,0
Social Media,480,2,Other,0
Google,4094,6,Form Submitted,0
Organic Search,3496,1,Form Submitted,1
Organic Search,2793,15,Form Submitted,0
Direct Traffic,2892,15,Email Opened,1
Organic Search,1198,14,Other,0
Direct Traffic,2372,7,Email Opened,0
Social Media,1892,5,Email Opened,0
Google,1883,16,Form Submitted,1
Google,797,17,Other,0
Direct Traffic,17,11,Page Visited,0
Google,43,15,Page Visited,0
Organic Search,154,16,Other,0
Referral,4962,3,Page Visited,0
Direct Traffic,3448,6,Form Submitted,0
Google,4838,13,Form Submitted,1
Direct Traffic,4080,1,Email Opened,1
Direct Traffic,1425,14,Form Submitted,1
Referral,4320,2,Page Visited,0
Organic Search,4312,2,Email Opened,0
Direct Traffic,3639,15,Other,0
Google,4126,18,Other,1
Social Media,1892,9,Email Opened,0
